index,time,acceleration
0,0,0
1,0.1,0
2,0.2,0
3,0.3,0
4,0.4,0
5,0.5,0
6,0.6,0
7,0.7,0
8,0.8,0
9,0.9,0
10,1,0
11,1.1,0
12,1.2,0
13,1.3,0
14,1.4,0
15,1.5,0
16,1.6,0
17,1.7,0
18,1.8,0
19,1.9,0
20,2,0
21,2.1,0
22,2.2,0
23,2.3,0
24,2.4,0
25,2.5,0
26,2.6,-0.1404166667
27,2.7,0.0916666667
28,2.8,0.3095833333
29,2.9,0.3754166667
30,2.95,0.1504166667
31,3,0.15875
32,3.05,-1.1920833333
33,3.1,-0.6995833333
34,3.15,-1.0229166667
35,3.2,0.6891666667
36,3.25,0.42625
37,3.3,-0.6416666667
38,3.35,-0.7320833333
39,3.4,-0.1291666667
40,3.45,-0.0133333333
41,3.5,-1.0616666667
42,3.55,-0.2108333333
43,3.6,-0.9804166667
44,3.65,-1.1779166667
45,3.7,-0.695
46,3.75,1.4679166667
47,3.8,0.9595833333
48,3.85,-3.4079166667
49,3.9,-0.5033333333
50,3.95,1.3304166667
51,4,1.2429166667
52,4.05,-1.56125
53,4.1,-1.31
54,4.15,1.3025
55,4.2,1.7654166667
56,4.25,0.0995833333
57,4.3,-0.64
58,4.35,1.6825
59,4.4,1.6833333333
60,4.45,0.5395833333
61,4.5,-1.6183333333
62,4.55,-0.1620833333
63,4.6,-0.7329166667
64,4.65,1.54
65,4.7,-2.7275
66,4.75,-1.55
67,4.8,1.3929166667
68,4.85,1.9866666667
69,4.9,-0.0279166667
70,4.95,-0.71375
71,5,1.1620833333
72,5.05,-1.7233333333
73,5.1,-1.0491666667
74,5.15,-0.3929166667
75,5.2,1.2054166667
76,5.25,-0.2383333333
77,5.3,-0.1041666667
78,5.35,0.1516666667
79,5.4,-0.0383333333
80,5.45,-1.2383333333
81,5.5,0.71875
82,5.55,-0.5483333333
83,5.6,-0.95125
84,5.65,0.10375
85,5.7,0.88125
86,5.75,-0.0691666667
87,5.8,-0.4720833333
88,5.85,0.72875
89,5.9,0.11875
90,5.95,-1.8120833333
91,6,-0.735
92,6.05,-1.3025
93,6.1,-1.1354166667
94,6.15,-0.5708333333
95,6.2,-0.6670833333
96,6.25,-0.2291666667
97,6.3,0.2191666667
98,6.35,-0.1966666667
99,6.4,-0.1158333333
100,6.45,0.30875
101,6.5,0.0629166667
102,6.55,-0.04625
103,6.6,-0.15625
104,6.65,0.3691666667
105,6.7,-0.2345833333
106,6.75,0.4075
107,6.8,-0.0920833333
108,6.85,-0.14375
109,6.9,-0.4204166667
110,6.95,0.0370833333
111,7,-0.0129166667
112,7.05,0.0875
113,7.1,-0.1229166667
114,7.15,0.2045833333
115,7.2,-0.1654166667
116,7.25,-0.2966666667
117,7.3,0.0983333333
118,7.35,0.4016666667
119,7.4,0.3416666667
120,7.45,0.41125
121,7.5,-0.455
122,7.55,-0.4716666667
123,7.6,-0.27625
124,7.65,0.1033333333
125,7.7,-0.0458333333
126,7.75,0.0975
127,7.8,-0.0341666667
128,7.85,0.15
129,7.9,0.0183333333
130,7.95,-0.06875
131,8,-0.04625
132,8.05,0.0075
133,8.1,0.0316666667
134,8.15,0
135,8.2,0
136,8.25,0
137,8.3,0
138,8.35,0
139,8.4,0
140,8.45,0
141,8.5,0
142,8.55,0
143,8.6,0
144,8.65,0
145,8.7,0
146,8.75,0
147,8.8,0
148,8.85,0
149,8.9,0
150,8.95,0
151,9,0
152,9.05,0
153,9.1,0
154,9.15,0
155,9.2,0
156,9.25,0
157,9.3,0
158,9.35,0
159,9.4,0
160,9.45,0
161,9.5,0
162,9.55,0
163,9.6,0
164,9.65,0
165,9.7,0
166,9.75,0
167,9.8,0
168,9.85,0
169,9.9,0
170,9.95,0
171,10,0
172,10.05,0
173,10.1,0
174,10.15,0
175,10.2,0
176,10.25,0
177,10.3,0
178,10.35,0
179,10.4,0
180,10.45,0
181,10.5,0
182,10.55,0
183,10.6,0
184,10.65,0
185,10.7,0
186,10.75,0
187,10.8,0
188,10.85,0
189,10.9,0
190,10.95,0
191,11,0
192,11.05,0
193,11.1,0
194,11.15,0
195,11.2,0
196,11.25,0
197,11.3,0
198,11.35,0
199,11.4,0
200,11.45,0
201,11.5,0
202,11.55,0
203,11.6,0
204,11.65,0
205,11.7,0
206,11.75,0
207,11.8,0
208,11.85,0
209,11.9,0
210,11.95,0
211,12,0
212,12.05,0
213,12.1,0
214,12.15,0
215,12.2,0
216,12.25,0
217,12.3,0
218,12.35,0
219,12.4,0
220,12.45,0
221,12.5,0
222,12.55,0
223,12.6,0
224,12.65,0
225,12.7,0
226,12.75,0
227,12.8,0
228,12.85,0
229,12.9,0
230,12.95,0
231,13,0
232,13.05,0
233,13.1,0
234,13.15,0
235,13.2,0
236,13.25,0
237,13.3,0
238,13.35,0
239,13.4,0
240,13.45,0
241,13.5,0
242,13.55,0
243,13.6,0
244,13.65,0
245,13.7,0
246,13.75,0
247,13.8,0
248,13.85,0
249,13.9,0
250,13.95,0
251,14,0
252,14.05,0
253,14.1,0
254,14.15,0
255,14.2,0
256,14.25,0
257,14.3,0
258,14.35,0
259,14.4,0
260,14.45,0
261,14.5,0
262,14.55,0
263,14.6,0
264,14.65,0
265,14.7,0
266,14.75,0
267,14.8,0
268,14.85,0
269,14.9,0
270,14.95,0
271,15,0
