"DISPL:0","DISPL:1","DISPL:2","LINVEL:0","LINVEL:1","LINVEL:2","NUMBER","ANGVEL:0","ANGVEL:1","ANGVEL:2","FORCE:0","FORCE:1","FORCE:2","TORQUE:0","TORQUE:1","TORQUE:2","ORIENT:0","ORIENT:1","ORIENT:2","ORIENT:3","ORIENT:4","ORIENT:5","ORIENT:6","ORIENT:7","ORIENT:8","ORIENT1:0","ORIENT1:1","ORIENT1:2","ORIENT2:0","ORIENT2:1","ORIENT2:2","ORIENT3:0","ORIENT3:1","ORIENT3:2","Points:0","Points:1","Points:2"
-0.00068818,0,0,0.057973,0,0,0,0,0,0,3014.2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1.3649,1.3656,0.4125
-0.00096896,0.00010472,30.836,0.058554,-0.00032157,23.341,1,0,0,0.014675,0,0,1.4028,0,0,0,1,1.1847e-05,0,-1.1847e-05,1,0,0,0,1,1,1.1847e-05,0,-1.1847e-05,1,0,0,0,1,0.77091,0.29698,31.352
-0.00086177,-2.4987e-05,30.829,0.057752,0.0031696,23.335,2,-0.054464,-0.12674,0.10265,-0.8431,-1.0778,1.4028,0.028494,-0.02105,0.00075976,1,0.0019004,0.00040738,-0.0019007,1,0.00090814,-0.00040601,-0.00090892,1,1,0.0019004,0.00040738,-0.0019007,1,0.00090814,-0.00040601,-0.00090892,1,0.88976,0.29685,31.344
-0.00089452,3.4545e-05,30.829,0.058652,0.0010663,23.335,3,0.092639,-0.025611,-0.031084,0,0,1.4028,0,0,0,0.99998,0.0052839,0.0035781,-0.0052841,0.99999,4.9043e-05,-0.0035778,-6.795e-05,0.99999,0.99998,0.0052839,0.0035781,-0.0052841,0.99999,4.9043e-05,-0.0035778,-6.795e-05,0.99999,1.0085,0.29691,31.345
-0.00083393,0.00011341,30.828,0.056175,0.0029655,23.334,4,0.011033,0.0019004,0.09849,0.28071,0.20575,1.4028,-0.0065065,0.0089239,0.016022,0.99999,0.0038645,-0.00050316,-0.0038655,0.99999,-0.0019706,0.00049524,0.0019725,1,0.99999,0.0038645,-0.00050316,-0.0038655,0.99999,-0.0019706,0.00049524,0.0019725,1,1.1273,0.29699,31.343
-0.0008494,0.00012208,30.83,0.054603,-0.0022848,23.335,5,-0.13813,0.24123,-0.061578,0.17707,-0.023674,1.4028,0.00074858,0.005614,0.00079418,0.99999,0.0032582,0.00076275,-0.0032587,0.99999,0.00068762,-0.00076095,-0.00069011,1,0.99999,0.0032582,0.00076275,-0.0032587,0.99999,0.00068762,-0.00076095,-0.00069011,1,1.246,0.297,31.345
-0.00087257,2.3497e-06,30.83,0.049789,0.0050393,23.334,6,0.42244,-0.099788,0.061103,3.228,-0.012332,1.4028,0.10247,0.00037413,0.00044424,1,0.0018973,0.0003269,-0.0018968,1,-0.0013813,-0.00032964,0.0013807,1,1,0.0018973,0.0003269,-0.0018968,1,-0.0013813,-0.00032964,0.0013807,1,1.3648,0.29688,31.346
-0.00090225,3.7628e-05,30.83,0.065358,0.010668,23.336,7,-0.078269,0.0026389,-0.10733,2.7745,-4.8685,1.4028,0.15415,0.087647,0.1236,0.99999,0.0028911,0.0018467,-0.0028931,1,0.0010343,-0.0018439,-0.0010396,1,0.99999,0.0028911,0.0018467,-0.0028931,1,0.0010343,-0.0018439,-0.0010396,1,1.4835,0.29691,31.345
-0.00087466,0.00014394,30.828,0.062398,0.0079979,23.334,8,-0.18085,0.32632,-0.14497,5.7598,-5.8062,1.4028,-0.11779,-0.11899,-0.10507,0.99998,0.0055195,0.0012268,-0.0055195,0.99998,4.3155e-05,-0.001227,-4.9926e-05,1,0.99998,0.0055195,0.0012268,-0.0055195,0.99998,4.3155e-05,-0.001227,-4.9926e-05,1,1.6022,0.29702,31.343
-0.00074092,-4.8761e-05,30.828,0.075338,-0.0039862,23.335,9,-0.092555,-0.014015,-0.52453,1.7592,-0.76955,1.4028,-0.045175,-0.032146,0.023483,1,-0.0021747,-0.0015561,0.0021772,1,0.0016277,0.0015516,-0.001631,1,1,-0.0021747,-0.0015561,0.0021772,1,0.0016277,0.0015516,-0.001631,1,1.7211,0.29683,31.344
